Series Name,Series Code,Country Name,Country Code,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bank cost to income ratio (%),GFDD.EI.07,East Asia & Pacific (IDA total),DEA,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Europe & Central Asia (IDA total),DEC,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Latin America & Caribbean (IDA total),DLA,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Middle East & North Africa (IDA total),DMN,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Small island developing states: UN classification,SID,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,South Asia (IDA total),DSA,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Sub-Saharan Africa (IDA total),DSS,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Afghanistan,AFG,..,..,85.90921,75.49723,75.86202,73.96669,53.75116,79.77605,68.50086,70.77246,76.37101,64.38843
Bank cost to income ratio (%),GFDD.EI.07,Albania,ALB,..,43.55364,54.39539,56.56705,54.95225,45.34583,49.14403,56.55297,48.76353,58.05717,50.04353,53.18945
Bank cost to income ratio (%),GFDD.EI.07,Algeria,DZA,..,46.6524,38.14533,36.40246,32.4089,37.8386,31.66537,34.64192,26.64992,28.58609,32.73517,..
Bank cost to income ratio (%),GFDD.EI.07,Andorra,AND,..,29.46428,..,..,..,57.45342,84.18076,72.48599,79.25723,73.43613,73.74954,..
Bank cost to income ratio (%),GFDD.EI.07,Angola,AGO,..,..,48.73029,55.21115,55.96743,52.52029,51.014,50.5887,44.85505,50.07529,55.04731,54.17353
Bank cost to income ratio (%),GFDD.EI.07,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Argentina,ARG,..,67.00724,60.16752,58.57581,55.81038,50.22417,56.24915,59.38852,55.17848,50.30172,52.78344,54.14642
Bank cost to income ratio (%),GFDD.EI.07,Armenia,ARM,..,55.43439,56.943,55.42102,53.85079,55.65886,52.14769,51.19894,48.11314,46.98418,42.23645,47.56454
Bank cost to income ratio (%),GFDD.EI.07,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Australia,AUS,..,62.93479,43.94972,42.67668,42.99313,42.5229,51.05852,44.2143,45.41514,50.81707,53.98421,54.07029
Bank cost to income ratio (%),GFDD.EI.07,Austria,AUT,..,58.53386,71.68584,69.79465,62.77227,62.81516,76.12304,67.3027,66.32044,75.03374,73.48064,69.06372
Bank cost to income ratio (%),GFDD.EI.07,Azerbaijan,AZE,..,55.55556,65.05763,65.20233,56.85311,59.98691,50.68229,37.12374,49.87765,50.85722,54.93303,59.50267
Bank cost to income ratio (%),GFDD.EI.07,"Bahamas, The",BHS,..,48.57876,32.44662,58.35442,58.74381,53.3802,49.49273,47.15667,46.98719,50.66434,51.00985,48.66309
Bank cost to income ratio (%),GFDD.EI.07,Bahrain,BHR,..,43.71241,36.42027,35.64816,33.77298,44.59491,43.66518,44.24525,44.91008,46.94667,54.01871,51.66708
Bank cost to income ratio (%),GFDD.EI.07,Bangladesh,BGD,..,35.72361,42.64715,47.89416,48.19941,46.63589,49.599,49.78088,50.27112,48.80352,51.02925,48.33612
Bank cost to income ratio (%),GFDD.EI.07,Barbados,BRB,..,..,..,..,19.54535,20.75891,19.92598,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Belarus,BLR,..,66.28363,60.37019,56.94124,57.96929,43.16804,50.20542,56.76962,61.10217,61.55848,64.40979,60.06468
Bank cost to income ratio (%),GFDD.EI.07,Belgium,BEL,..,66.05338,69.71429,57.90155,64.19933,58.69978,57.6793,58.79488,61.03957,55.03469,64.29411,62.42948
Bank cost to income ratio (%),GFDD.EI.07,Belize,BLZ,..,..,..,..,..,64.47908,58.15131,46.87166,57.98988,53.97584,65.33917,..
Bank cost to income ratio (%),GFDD.EI.07,Benin,BEN,..,69.82668,62.82423,59.72953,..,59.61822,64.98695,70.53664,72.03745,69.24982,..,..
Bank cost to income ratio (%),GFDD.EI.07,Bermuda,BMU,..,..,65.61259,63.09864,64.93625,66.38026,69.63791,62.50522,62.56688,63.98475,65.51086,69.14185
Bank cost to income ratio (%),GFDD.EI.07,Bhutan,BTN,..,..,..,32.26576,29.30469,32.32045,29.95713,36.03811,33.13412,35.12847,48.92258,54.16243
Bank cost to income ratio (%),GFDD.EI.07,Bolivia,BOL,..,65.49257,64.76814,67.9399,63.67665,71.0527,66.54698,66.02747,70.63685,67.35729,69.59842,70.995
Bank cost to income ratio (%),GFDD.EI.07,Bosnia and Herzegovina,BIH,..,66.06061,64.56165,67.29772,64.91787,82.61642,70.70359,72.77326,59.79502,61.6039,65.03252,62.80249
Bank cost to income ratio (%),GFDD.EI.07,Botswana,BWA,..,44.77124,46.88338,47.13403,53.11148,59.6473,57.37443,59.22567,60.58712,57.75759,60.13753,58.44814
Bank cost to income ratio (%),GFDD.EI.07,Brazil,BRA,..,74.01274,58.15495,62.64394,63.8774,68.557,62.87375,64.98171,65.04424,68.04405,61.43049,55.8288
Bank cost to income ratio (%),GFDD.EI.07,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Bulgaria,BGR,..,61.50442,53.25479,54.78288,48.04313,49.96555,49.00342,50.11793,48.98655,50.03709,56.40888,49.37222
Bank cost to income ratio (%),GFDD.EI.07,Burkina Faso,BFA,..,65.81314,56.92175,57.92487,52.28925,52.90938,56.07615,53.96365,56.79625,53.89084,43.24403,..
Bank cost to income ratio (%),GFDD.EI.07,Burundi,BDI,..,..,69.76116,64.06454,..,58.47295,54.03918,46.15714,44.79435,43.21344,45.5628,49.18098
Bank cost to income ratio (%),GFDD.EI.07,Cabo Verde,CPV,..,..,72.35967,75.26077,78.24339,73.64754,75.99999,67.50639,75.54284,58.78465,53.7564,51.66662
